Question,Category,Answer
"What is the admission process?",admissions,"Admissions usually start in June. You can apply online through our official website. Eligibility varies by course - please check the specific course details."
"How to take admission?",admissions,"The admission process involves filling an online application form, appearing for an entrance exam (if required), and a personal interview. Visit our admissions portal for more details."
"When do admissions start?",admissions,"Admissions usually start in June. You can apply online through our official website. Eligibility varies by course - please check the specific course details."
"Admission procedure",admissions,"The admission process involves filling an online application form, appearing for an entrance exam (if required), and a personal interview. Visit our admissions portal for more details."
"Eligibility for admission",admissions,"Admissions usually start in June. You can apply online through our official website. Eligibility varies by course - please check the specific course details."
"What are the admission criteria?",admissions,"The admission process involves filling an online application form, appearing for an entrance exam (if required), and a personal interview. Visit our admissions portal for more details."
"What courses are offered?",courses,"We offer various UG and PG courses including B.Tech, BBA, B.Com, MBA, M.Tech, and PhD programs in multiple specializations."
"List of courses",courses,"Our college provides courses in Engineering (CSE, ECE, ME, CE), Management, Commerce, and Science streams at both undergraduate and postgraduate levels."
"Available programs",courses,"We offer various UG and PG courses including B.Tech, BBA, B.Com, MBA, M.Tech, and PhD programs in multiple specializations."
"What branches are there?",courses,"Our college provides courses in Engineering (CSE, ECE, ME, CE), Management, Commerce, and Science streams at both undergraduate and postgraduate levels."
"Engineering courses",courses,"We offer various UG and PG courses including B.Tech, BBA, B.Com, MBA, M.Tech, and PhD programs in multiple specializations."
"Management courses",courses,"Our college provides courses in Engineering (CSE, ECE, ME, CE), Management, Commerce, and Science streams at both undergraduate and postgraduate levels."
"UG courses",courses,"We offer various UG and PG courses including B.Tech, BBA, B.Com, MBA, M.Tech, and PhD programs in multiple specializations."
"PG courses",courses,"Our college provides courses in Engineering (CSE, ECE, ME, CE), Management, Commerce, and Science streams at both undergraduate and postgraduate levels."
"What is the fee structure?",fees,"The fee structure varies by course. B.Tech fees are approximately ₹1,20,000 per year, MBA fees are ₹2,00,000 per year. Hostel fees are ₹80,000 per year including mess."
"College fees",fees,"Please visit our official website for detailed fee structure. We also offer scholarships based on merit and financial need."
"Tuition fees",fees,"The fee structure varies by course. B.Tech fees are approximately ₹1,20,000 per year, MBA fees are ₹2,00,000 per year. Hostel fees are ₹80,000 per year including mess."
"Hostel fees",fees,"Please visit our official website for detailed fee structure. We also offer scholarships based on merit and financial need."
"How much is the fees?",fees,"The fee structure varies by course. B.Tech fees are approximately ₹1,20,000 per year, MBA fees are ₹2,00,000 per year. Hostel fees are ₹80,000 per year including mess."
"Does college have hostel?",hostel,"Yes, we have separate boys' and girls' hostels with 24/7 security, Wi-Fi, mess facilities, and recreational areas. Hostel accommodation is optional."
"Hostel facilities",hostel,"Our hostels are well-equipped with all modern amenities. You can apply for hostel during admission."
"Hostel availability",hostel,"Yes, we have separate boys' and girls' hostels with 24/7 security, Wi-Fi, mess facilities, and recreational areas. Hostel accommodation is optional."
